gene,original,refined
Gfap,TRUE,FALSE
S1pr3,TRUE,TRUE
P4ha3,TRUE,FALSE
Aqp4,TRUE,TRUE
Serping1,TRUE,TRUE
Osmr,TRUE,TRUE
A2m,TRUE,TRUE
Pdpn,TRUE,FALSE
Aldh1l1,TRUE,TRUE
Fbxo2,TRUE,TRUE
Dkk3,TRUE,FALSE
Mlc1,TRUE,TRUE
Mt2,TRUE,TRUE
Slc7a2,TRUE,TRUE
Hbegf,TRUE,TRUE
Ccdc80,TRUE,FALSE
Clu,TRUE,TRUE
Id4,TRUE,FALSE
Cd44,TRUE,FALSE
Tmem47,TRUE,TRUE
Slc14a1,TRUE,TRUE
S100a6,TRUE,FALSE
Sdc4,TRUE,FALSE
Dhrs1,TRUE,FALSE
Lcat,TRUE,TRUE
Lrtm2,TRUE,TRUE
Tst,TRUE,TRUE
Gstm1,TRUE,TRUE
Lgi4,TRUE,TRUE
Id3,TRUE,FALSE
Slc4a4,TRUE,TRUE
Cyp2d22,TRUE,TRUE
Pbxip1,TRUE,TRUE
Mgst1,TRUE,TRUE
Cpe,TRUE,TRUE
Fkbp10,TRUE,TRUE
Slc1a2,TRUE,TRUE
Ccdc190,TRUE,TRUE
Fxyd1,TRUE,FALSE
Lrig1,TRUE,FALSE
Igfbp2,TRUE,TRUE
Slc1a3,TRUE,TRUE
Acot11,TRUE,TRUE
Aldoc,TRUE,TRUE
Mt1,TRUE,TRUE
Lxn,TRUE,FALSE
Slc25a18,TRUE,TRUE
Mt3,TRUE,TRUE
Fam107a,TRUE,TRUE
Ezr,TRUE,TRUE
